Count	category	Referrer
6,139,327	other	other-empty
3,868,016	other	other-search
1,495,308	other	other-internal
504,669	other	other-external
250,011	main	Main_Page
174,572	other	other-other
5,256	list	Deaths_in_2026
3,503	main	Wikipedia
2,989	item	2026_FIFA_World_Cup
2,539	main	Wiki
2,233	list	2026_FIFA_World_Cup_squads
2,217	list	List_of_American_films_of_2026
1,921	list	List_of_2026_albums
1,914	list	List_of_accidents_and_incidents_involving_commercial_aircraft
1,755	item	United_States
1,648	list	List_of_Korean_dramas
1,496	list	List_of_sports
1,441	list	2026_United_States_House_of_Representatives_elections
1,346	list	List_of_one-hit_wonders_in_the_United_States
1,338	item	United_Kingdom
1,332	list	List_of_American_film_actresses
1,192	list	List_of_former_sovereign_states
1,191	list	List_of_members_of_the_18th_Lok_Sabha
1,183	list	List_of_religions_and_spiritual_traditions
1,165	item	2026_Iran_war
1,153	list	List_of_Rock_and_Roll_Hall_of_Fame_inductees
1,143	list	List_of_Indian_film_actresses
1,133	list	List_of_World_War_II_battles
1,118	list	List_of_British_actors
1,112	list	Academy_Award_for_Best_Picture
1,079	list	List_of_Major_League_Baseball_team_rosters
1,066	list	List_of_dinosaur_genera
1,061	list	List_of_Nintendo_Entertainment_System_games
1,032	item	Russia
1,027	list	List_of_current_heads_of_state_and_government
1,008	list	2022_FIFA_World_Cup_squads
1,002	list	List_of_United_States_counties_and_county_equivalents
995	list	List_of_Wii_games
994	list	List_of_UFC_events
982	list	List_of_Murder,_She_Wrote_episodes
975	list	List_of_criminal_enterprises,_gangs,_and_syndicates
973	item	National_Film_Registry
967	list	List_of_current_United_States_representatives
963	list	2026_in_film
957	list	Academy_Award_for_Best_Actor
957	list	List_of_PlayStation_2_games_(A–K)
951	list	List_of_aircraft_of_World_War_II
943	list	List_of_administrative_divisions_by_country
926	list	List_of_serial_killers_by_number_of_victims
924	list	List_of_Nintendo_products
920	list	List_of_WWE_pay-per-view_and_livestreaming_supercards
918	item	China
917	list	List_of_Xbox_games
916	list	2010_FIFA_World_Cup_squads
915	list	List_of_PlayStation_2_games_(L–Z)
908	item	World_War_II
904	item	New_York_City
904	item	Japan
899	list	Academy_Award_for_Best_Actress
893	list	2006_FIFA_World_Cup_squads
892	item	Germany
890	list	List_of_Hindi_film_families
886	list	List_of_last_words_(20th_century)
883	list	List_of_serial_killers_in_the_United_States
875	list	Deaths_in_May_2026
874	list	List_of_Xbox_360_games_(A–L)
872	list	2018_FIFA_World_Cup_squads
871	item	Israel
871	list	List_of_foreign_Premier_League_players
869	list	2014_FIFA_World_Cup_squads
869	list	2002_FIFA_World_Cup_squads
867	list	List_of_car_brands
862	item	France
861	item	India
861	list	1998_FIFA_World_Cup_squads
859	list	List_of_desserts
858	list	List_of_Super_Nintendo_Entertainment_System_games
857	list	List_of_association_football_competitions
856	item	Iran
844	item	Turkey
844	list	List_of_Sega_Genesis_games
839	item	Michael_Jackson
839	item	England
837	list	List_of_Game_Boy_Advance_games
833	item	2026
830	list	List_of_PlayStation_(console)_games_(A–L)
830	list	List_of_Catholic_saints
826	list	List_of_20th_Century_Fox_films_(1935–1999)
825	list	List_of_years_in_film
823	list	List_of_legendary_creatures_by_type
821	list	List_of_MPs_elected_in_the_2024_United_Kingdom_general_election
819	item	Canada
815	item	Brazil
803	item	South_Africa
803	list	List_of_video_games_released_in_2026
801	list	List_of_Donald_Trump_2024_presidential_campaign_non-political_endorsements
799	list	List_of_ruling_political_parties_by_country
797	list	List_of_political_ideologies
797	list	List_of_men's_footballers_with_100_or_more_international_caps
796	item	Donald_Trump
795	list	119th_United_States_Congress
794	list	List_of_PlayStation_(console)_games_(M–Z)
791	item	Australia
785	item	Netherlands
785	list	Academy_Award_for_Best_Supporting_Actor
769	item	Poland
769	item	Mexico
766	item	Cristiano_Ronaldo
766	list	List_of_shopping_malls_in_the_United_States
763	item	Argentina
763	item	2026_West_Bengal_Legislative_Assembly_election
761	item	Lionel_Messi
758	list	List_of_automobile_manufacturers
757	item	Italy
755	list	Academy_Award_for_Best_Supporting_Actress
755	list	List_of_PlayStation_Portable_games
754	list	List_of_minerals
749	list	List_of_first-person_shooters
748	list	List_of_wealthiest_families
742	item	Philippines
736	item	Curaçao
735	list	List_of_fighter_aircraft
732	list	List_of_United_Artists_films
731	list	List_of_conflicts_in_Europe
727	list	List_of_music_genres_and_styles
726	list	List_of_Walt_Disney_Pictures_films
726	list	List_of_musical_films_by_year
724	item	Greece
724	list	List_of_Nobel_laureates
722	item	Cape_Verde
721	item	Spain
719	list	UEFA_Euro_2024_squads
718	item	California
717	item	United_States_men's_national_soccer_team
709	item	Norway
707	list	List_of_militaries_by_country
704	list	List_of_Sony_Interactive_Entertainment_video_games
701	list	Academy_Award_for_Best_Original_Song
697	item	Bosnia_and_Herzegovina
696	item	Brazil_national_football_team
693	item	World_War_I
691	item	London
